"Country","CountryCode","ActivePersonnel","Aircraft","ArmoredVehicles","Helicopters","NavyShips","Tanks","ReservePersonnel","RocketProjectors"
Afghanistan,AFG,0,0,530,0,0,0,0,13
Albania,ALB,8000,19,76,19,19,0,0,0
Argentina,ARG,83000,218,800,85,47,349,0,26
Armenia,ARM,45000,64,673,36,0,288,210000,94
Australia,AUS,59000,430,1765,133,43,59,20000,0
Belgium,BEL,26000,115,854,20,17,0,7000,0
Belarus,BLR,45000,201,1510,62,0,601,290000,238
Bolivia,BOL,50000,63,152,28,170,36,0,0
Brazil,BRA,360000,679,1958,179,112,439,1340000,78
Canada,CAN,70000,380,1534,118,61,82,19000,0
China,CHN,2000000,3285,35000,912,777,5250,510000,3160
Colombia,COL,295000,454,483,211,450,0,35000,0
Cuba,CUB,50000,80,1570,14,19,1230,40000,20
Dominican Republic,DOM,60000,65,35,33,34,10,0,0
Ecuador,ECU,40000,113,698,41,30,252,120000,43
Egypt,EGY,450000,1062,10000,313,245,4394,480000,1235
Eritrea,ERI,175000,33,200,13,20,300,200000,34
Estonia,EST,6500,6,180,0,6,0,12000,0
Ethiopia,ETH,150000,90,110,32,0,340,0,183
Finland,FIN,23000,192,2090,20,246,200,280000,63
France,FRA,205000,1055,6558,435,180,406,35000,13
Gabon,GAB,6500,23,150,15,10,0,0,0
Georgia,GEO,25000,66,554,38,44,143,0,67
Ghana,GHA,14000,20,343,11,20,0,0,6
Hungary,HUN,23000,55,510,33,0,176,20000,0
India,IND,1450000,2182,12000,805,295,4614,1155000,1338
Iran,IRN,575000,543,7600,126,142,2831,350000,2485
Iraq,IRQ,200000,361,5050,164,63,826,0,232
Israel,ISR,173000,597,8044,127,67,1900,465000,48
Italy,ITA,170000,862,6908,396,184,200,20000,21
Jordan,JOR,90000,255,3693,133,27,1401,65000,88
Japan,JPN,240000,1449,5500,554,155,1004,55000,99
Kazakhstan,KAZ,45000,237,1215,75,15,310,0,407
Kenya,KEN,24000,151,959,87,23,109,0,5
Laos,LAO,25000,32,200,27,39,130,0,64
Libya,LBY,30000,127,2275,32,7,100,0,450
North Macedonia,MAC,7500,20,228,10,0,10,3000,11
Mexico,MEX,250000,469,3435,159,154,0,65000,0
Mozambique,MOZ,11000,18,317,8,8,90,0,12
Namibia,NAM,12500,30,489,7,8,5,0,7
Nigeria,NGA,135000,140,2019,52,133,376,0,47
Nicaragua,NIC,12000,17,300,11,25,195,0,163
Norway,NOR,23000,161,700,49,48,36,0,12
Pakistan,PAK,640000,1387,9950,307,114,2824,500000,560
Panama,PAN,0,39,50,22,20,0,0,0
Peru,PER,95000,243,552,89,63,146,100000,90
Poland,POL,120000,452,4786,207,86,863,0,197
Romania,ROM,67000,147,1392,62,45,451,50000,207
Russia,RUS,850000,4173,30122,1543,605,12420,250000,3391
Slovenia,SLV,7000,37,380,12,2,44,2000,0
Somalia,SOM,17500,0,65,0,3,0,0,0
Suriname,SUR,1800,3,100,3,18,0,0,0
Sweden,SWE,16000,204,3371,53,316,121,0,0
Syria,SYR,100000,452,5372,154,43,3540,0,629
Thailand,THA,350000,469,2836,177,292,637,100000,5
Turkmenistan,TKM,30000,82,2050,26,30,680,0,160
Tunisia,TUN,36000,151,954,102,40,145,0,0
Turkey,TUR,425000,1057,13270,474,156,3022,200000,407
Uganda,UGA,47000,49,1056,25,8,237,10000,26
Ukraine,UKR,200000,318,12303,112,38,2596,250000,490
United States,USA,1390000,13247,45193,5463,484,6612,442000,1366
Uzbekistan,UZB,55000,200,1215,96,0,420,0,98
Venezuela,VEN,137500,256,2534,78,46,300,30000,54
Yemen,YEM,45000,177,300,61,35,200,0,50
